"id","instrument","endogenous","confounder","outcome"
1,1.371,3.334,2.325,5.835
2,-0.565,0.481,0.524,0.775
3,0.363,1.03,0.971,0.975
4,0.633,0.813,0.377,2.419
5,0.404,-0.874,-0.996,-2.443
6,-0.106,-0.651,-0.597,-0.902
7,1.512,0.676,0.165,2.205
8,-0.095,-2.893,-2.928,-6.674
9,2.018,0.124,-0.848,1.356
10,-0.063,1.013,0.799,-0.162
11,1.305,1.232,-0.298,2.724
12,2.287,1.167,-0.284,3.875
13,-1.389,-0.841,0.87,-1.214
14,-0.279,-0.675,-0.544,-0.38
15,-0.133,1.531,0.629,2.445
16,0.636,0.328,-1.422,1.097
17,-0.284,-2.041,-1.228,-2.853
18,-2.656,-3.377,-1.674,-7.916
19,-2.44,-0.874,0.084,-0.755
20,1.32,0.74,-0.206,0.091
21,-0.307,1.738,1.442,2.832
22,-1.781,-1.447,-0.042,-0.267
23,-0.172,1.265,1.354,2.906
24,1.215,2.519,1.945,4.752
25,1.895,2.548,-0.491,6.125
26,-0.43,0.47,0.388,0.657
27,-0.257,-1.459,-0.845,-2.212
28,-1.763,-0.946,0.738,-2.31
29,0.46,-0.357,-1.08,-2.96
30,-0.64,-2.22,-1.026,-3.864
31,0.455,-0.352,0.289,-1.245
32,0.705,0.005,0.091,-0.572
33,1.035,0.761,0.263,1.499
34,-0.609,0.249,0.069,1.833
35,0.505,-0.207,-0.529,-0.065
36,-1.717,-1.225,-0.13,-1.595
37,-0.784,0.715,1.62,1.896
38,-0.851,-0.963,-0.018,-1.822
39,-2.414,-2.064,-1.318,-3.324
40,0.036,-1.199,-0.845,-2.451
41,0.206,-0.851,-1.102,-2.842
42,-0.361,-1.147,-0.9,-1.856
43,0.758,-0.212,-1.261,-2.576
44,-0.727,-1.806,-2.626,-4.335
45,-1.368,-0.166,0.669,-0.458
46,0.433,1.522,0.66,2.818
47,-0.811,-0.387,-0.251,-1.169
48,1.444,0.12,-0.724,1.3
49,-0.431,-0.911,-0.812,-2.81
50,0.656,1.466,0.399,0.278
51,0.322,-0.374,0.227,0.01
52,-0.784,-0.049,0.422,-0.095
53,1.576,1.028,0.005,1.948
54,0.643,1.384,0.619,2.315
55,0.09,0.783,0.431,-0.164
56,0.277,0.791,0.558,0.573
57,0.679,1.619,0.496,3.695
58,0.09,0.63,1.662,1.112
59,-2.993,-2.484,-1.055,-6.281
60,0.285,0.616,1.508,1.68
61,-0.367,-0.231,-0.334,0.359
62,0.185,0.122,-0.065,0.117
63,0.582,0.956,0.081,1.887
64,1.4,0.661,-0.448,2.775
65,-0.727,-3.336,-2.554,-6.023
66,1.303,-0.342,-0.313,0.566
67,0.336,0.539,0.041,1.028
68,1.039,-0.7,-1.738,0.253
69,0.921,0.799,0.55,1.467
70,0.721,-0.129,-0.597,0.72
71,-1.043,0.092,1.448,-0.305
72,-0.09,0.07,0.265,-0.963
73,0.624,-0.66,-0.789,-0.24
74,-0.954,-1.525,0.168,-0.77
75,-0.543,-0.284,0.258,-0.919
76,0.581,1.659,0.912,4.696
77,0.768,1.351,-0.157,2.481
78,0.464,-1.301,-2.033,-1.475
79,-0.886,-1.7,-1.3,-4.259
80,-1.1,-0.974,-0.857,-1.587
81,1.513,1.427,0.426,2.047
82,0.258,-0.265,-0.285,-1.853
83,0.088,-1.298,-0.614,-1.88
84,-0.121,-1.392,-0.845,-1.091
