smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
O=C([O-])Nc1ccc(N2CCN(C(=O)Cc3ccccc3)CC2)cc1,-9.8614,-6.6017,3.2597,-0.63,xtb_success
COCc1ccc(C(=O)N2CCN(C(=O)c3ccccc3)CC2)cc1,-10.5525,-6.831,3.7214,-0.531,xtb_success
CN(C(=O)NCC1CCN(C2CCCCC2)CC1)c1ccccc1,-9.2901,-6.3172,2.9729,-0.572,xtb_success
COCc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,-9.2905,-6.737,2.5535,-0.542,xtb_success
CC(C)(C)c1ccc(CCCC2CCN(CC(N)=O)CC2)cc1,-9.5768,-5.8259,3.7509,-0.547,xtb_success
NC(=O)Cc1ccc(-c2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,-10.179,-6.9135,3.2655,-0.533,xtb_success
COc1ccc(CC2CCN(C(=O)c3c(NC(C)=O)sc4c3CCC4)CC2)cc1,-10.0514,-7.0104,3.041,-0.557,xtb_success
COCc1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1,-9.7007,-6.5897,3.111,-0.542,xtb_success
NC(=O)Cc1csc(CCc2ccc(CC3CCCCC3)cc2)n1,-10.4019,-7.1094,3.2925,-0.537,xtb_success
COc1ccc(CN(C)C(=O)c2cc3c([nH]c2=O)CCCC3=O)cc1,-10.3255,-7.8021,2.5234,-0.539,xtb_success
CC(C)(C)c1ccc(Cc2cc(CCCC(N)=O)ccn2)cc1,-9.984,-6.6073,3.3767,-0.529,xtb_success
COc1cccc(CN2CCN(C(=O)c3c(C)n[nH]c3C3CCCCC3)CC2)c1,-9.5414,-6.0241,3.5174,-0.554,xtb_success
COc1ccc(CC(=O)CCN2CCN(C3CCCCC3)CC2)cc1,-8.7417,-7.0265,1.7152,-0.43,xtb_success
COC(=O)c1ccc(CN2CCN(CCc3ccc(C)cc3)CC2)cc1,-9.5748,-7.5406,2.0342,-0.496,xtb_success
COCc1ccc(OC)c(C(=O)N2CCN(c3ccccc3)CC2)c1,-9.4403,-6.4112,3.0291,-0.537,xtb_success
COc1cccc(C(=O)CN2CCN(CC3CCCCC3)CC2)c1,-9.556,-7.8104,1.7456,-0.422,xtb_success
CCCCNc1nc2ccc(N3CCN(C(C)=O)CC3)cc2c(=O)o1,-9.6307,-7.6045,2.0262,-0.551,xtb_success
COCc1ccc(C(=O)c2ccc(N3CCCCC3)nc2)cc1,-9.9685,-7.7484,2.2201,-0.488,xtb_success
CCN(Cc1ccc(-c2ccccn2)cc1)C(=O)C(C)(C)OC,-9.9847,-7.0941,2.8905,-0.533,xtb_success
COCc1ccc(CCN2CCN(C(=O)C3(OC)CCCCC3)CC2)cc1,-9.4291,-5.989,3.4401,-0.533,xtb_success
O=C(Nc1cc(F)ccc1Cl)c1ccc(-c2cncnc2)cc1,-10.2484,-7.8998,2.3486,-0.482,xtb_success
CC(C)(C)c1ccc(CCc2nc(CCC(N)=O)cs2)cc1,-10.3969,-6.841,3.5559,-0.537,xtb_success
COc1cccc(Cc2ccc(CC(=O)C(C)(C)N3CCOCC3)cc2)c1,-9.7642,-7.132,2.6322,-0.418,xtb_success
Cc1nonc1S(=O)(=O)c1ccc(C(=O)N2CCCCCCC2)cc1,-10.5822,-8.5553,2.0269,-0.614,xtb_success
