restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status,gap_score,esp_score,R_DFT,R0,R_total,rank_R0,rank_total,delta_rank,dft_effect,MW,LogP,HBD,HBA,RotBonds,TPSA,QED,Lipinski_Pass,Violations,hERG_Prob,hERG_Risk,R_ADMET,R_global,Active_Set
92,4,COCc1ccc(C(=O)N2CCN(C(=O)c3ccccc3)CC2)cc1,7.56830000000001,0.8602466628117768,1.6831262361766406,338.40700000000004,2.4312000000000005,0.0,8.830110707788233,-10.5525,-6.831,3.7214,-0.531,xtb_success,0.8151751792282891,0.7816666666666666,0.8051226254598023,8.830110707788233,9.152159757972154,2,1,-1,neutral,338.41,2.43,0,3,4,49.85,0.86,True,0,0.78,True,0.688,10.528,False
65,2,O=C([O-])Nc1ccc(N2CCN(C(=O)Cc3ccccc3)CC2)cc1,7.624100000000004,0.9125577540115644,2.116560851561257,338.38700000000006,1.333099999999999,0.0,8.868722791849661,-9.8614,-6.6017,3.2597,-0.63,xtb_success,0.6848328320880999,0.6166666666666667,0.6643829824616698,8.868722791849661,9.13447598483433,1,2,1,neutral,338.39,1.33,1,4,4,75.71,0.913,True,0,0.5966666666666667,True,0.761,10.657,False
57,8,CC(C)(C)c1ccc(CCCC2CCN(CC(N)=O)CC2)cc1,7.575000000000006,0.8728037983204814,2.036060205666141,316.48900000000003,3.504100000000001,0.0,8.80533349105581,-9.5768,-5.8259,3.7509,-0.547,xtb_success,0.8228088615653233,0.755,0.8024662030957261,8.80533349105581,9.1263199722941,5,3,-2,neutral,316.49,3.5,1,2,6,46.33,0.873,True,0,0.7566666666666667,True,0.697,10.521,False
83,24,NC(=O)Cc1ccc(CCCCc2ccc(CC(N)=O)cc2)cc1,7.578100000000006,0.6934989076985447,1.794579848915122,324.424,2.3076,0.0,8.745391468957767,-10.4145,-6.0924,4.3222,-0.535,xtb_success,0.9441911867555394,0.775,0.8934338307288776,8.745391468957767,9.102765001249317,34,4,-30,physically_promoted,324.42,2.31,2,2,9,86.18,0.693,True,0,0.3466666666666667,False,0.861,10.825,True
83,20,NC(=O)CCc1ccc(Cc2ccc(CCC(N)=O)cc2)cc1,7.5484000000000036,0.7821291998590602,1.773952447233773,310.397,2.1132,0.0,8.743794874322443,-10.3931,-6.0905,4.3025,-0.538,xtb_success,0.9409989255167124,0.77,0.8896992478616985,8.743794874322443,9.099674573467125,35,5,-30,physically_promoted,310.4,2.11,2,2,8,86.18,0.782,True,0,0.26666666666666666,False,0.893,10.886,True
75,36,COCCc1cccc(Cc2cccc(OC)c2OC)c1OC,7.586300000000007,0.7468536561667555,2.1357542108436576,316.39700000000005,3.4921000000000024,0.0,8.743558452727438,-10.0644,-6.1234,3.941,-0.354,xtb_success,0.8691973103515618,0.8849999999999999,0.8739381172460932,8.743558452727438,9.093133699625875,36,6,-30,physically_promoted,316.4,3.49,0,4,8,36.92,0.747,True,0,0.6726186521032183,True,0.731,10.555,False
93,16,COCCc1ccccc1CCc1ccccc1C(=O)N(C)C,7.560500000000011,0.784487413036907,2.037237761139515,311.425,3.3625000000000025,0.0,8.734421412321366,-10.56,-6.2235,4.3365,-0.546,xtb_success,0.9464576707053836,0.7566666666666666,0.8895203694937686,8.734421412321366,9.090229560118871,49,7,-42,physically_promoted,311.43,3.36,0,2,7,29.54,0.784,True,0,0.6533333333333333,True,0.739,10.568,False
17,9,NC(=O)CCc1ccc(CCc2ccc(CC(N)=O)cc2)cc1,7.547200000000004,0.7801442554165988,1.8429740925004603,310.397,1.9174999999999995,0.0,8.734700237574543,-10.298,-6.021,4.2769,-0.544,xtb_success,0.9367309280188032,0.76,0.8837116496131622,8.734700237574543,9.088184897419808,48,8,-40,physically_promoted,310.4,1.92,2,2,8,86.18,0.78,True,0,0.23333333333333334,False,0.907,10.902,True
95,9,COCc1ccc(Cc2ccc(CC[C@H]3CCOC3)cc2)cc1,7.59570000000001,0.7547518336376462,2.426119766970116,310.437,4.392900000000004,0.0,8.71233999678902,-10.4202,-6.1436,4.2766,-0.373,xtb_success,0.9366801175986128,0.9325,0.935426082319029,8.71233999678902,9.08651042971663,99,9,-90,physically_promoted,310.44,4.39,0,2,7,18.46,0.755,True,0,0.6466666666666666,True,0.741,10.569,False
62,19,COCc1cc(Cc2ccc(OC)cc2)cc(CC(OC)OC)c1,7.627000000000013,0.6584987772648521,2.2852766953927333,330.4240000000001,3.5938000000000025,0.0,8.727721719093164,-10.1596,-6.1295,4.03,-0.36,xtb_success,0.8890404890652579,0.8999999999999999,0.8923283423456805,8.727721719093164,9.084653056031437,65,10,-55,physically_promoted,330.42,3.59,0,4,9,36.92,0.658,True,0,0.5353511518275269,True,0.786,10.656,False
97,9,COCc1cc(Cc2ccc(OC)c(OC)c2)ccc1OC,7.58870000000001,0.7847780421267898,1.8234494117773288,302.37000000000006,3.449600000000002,0.0,8.738473421154193,-9.8673,-5.9779,3.8893,-0.343,xtb_success,0.8570947458450833,0.8575,0.8572163220915582,8.738473421154193,9.081359949990816,40,11,-29,physically_promoted,302.37,3.45,0,4,7,36.92,0.785,True,0,0.6982484230955847,True,0.721,10.523,False
