name,smiles,Broad_Spectrum_Score,Broad_Rank,Broad_Rank_Pct,E_SARS_CoV_2,E_SARS_CoV_1,E_MERS_CoV,pIC50,Reward,R_total,R_ADMET,R_global
mol_6,Cc1nnc(S(=O)(=O)c2ccc(NC(=O)C(C)C)cc2)s1,-6.7,25.0,0.6944444444444444,-7.0,-7.0,-6.7,7.486400000000003,8.723839654233313,8.94529563346836,0.885,10.716
mol_12,CC(C)(C)c1ccc(CCc2nc(CCC(N)=O)cs2)cc1,-6.7,25.0,0.6944444444444444,-6.7,-7.0,-6.7,7.543300000000006,8.76123342661813,9.069581521975982,0.808,10.686
mol_16,NC(=O)Cc1ccc(-c2ccc(N3C(=O)CC4(CCCCC4)C3=O)cc2)cc1,-7.8,1.0,0.027777777777777776,-8.3,-7.8,-8.1,7.595200000000005,8.73529316489453,8.994612695238095,0.834,10.663
mol_17,CS(=O)(=O)CCc1csc(-c2ccc(CCC(N)=O)cc2)n1,-6.5,30.0,0.8333333333333334,-7.0,-6.5,-6.8,7.529800000000002,8.722339021715584,8.94128975248732,0.859,10.659
mol_0,NC(=O)Cc1ccc(-c2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,-7.2,12.0,0.3333333333333333,-7.5,-7.2,-7.6,7.592200000000004,8.790548855694503,9.076185728069545,0.928,10.932
mol_14,NC(=O)Cc1ccc(-c2ccc(-c3nc(CC(N)=O)cs3)cc2)cc1,-7.2,12.0,0.3333333333333333,-7.5,-7.2,-7.5,7.577300000000004,8.725933872692732,8.951719783917861,0.864,10.68
mol_13,CC(C)(C)c1ccc(-c2cc(Cc3cc(CC(N)=O)ccn3)ccn2)cc1,-7.6,3.0,0.08333333333333333,-7.6,-8.1,-8.0,7.587100000000004,8.728502161282005,8.986979314183285,0.847,10.68
mol_18,C#CCc1ccnc(-c2ccnc(-c3ccnc(CC(N)=O)c3)c2)c1,-7.6,3.0,0.08333333333333333,-7.7,-8.0,-7.6,7.592700000000005,8.687156253340087,8.904630933716959,0.875,10.654
mol_15,COCc1ccc(Cc2ccc(CCC(=O)C(C)(C)OC)cc2)cc1,-6.6,28.0,0.7777777777777778,-6.6,-6.8,-6.7,7.608800000000009,8.730194804696723,9.031306669167185,0.816,10.663
mol_3,NC(=O)Cc1ccc(-c2ccc(Cc3cc(CC(N)=O)ccn3)cc2)cc1,-7.7,2.0,0.05555555555555555,-7.9,-7.7,-8.5,7.596700000000006,8.72111433313821,9.006350947314875,0.888,10.782
mol_19,NC(=O)Cc1ccc(/C=C\C=C/c2cc(CC(N)=O)ccn2)cc1,-7.1,19.0,0.5277777777777778,-7.1,-7.3,-7.5,7.564000000000005,8.689825152775237,8.909692137422052,0.865,10.64
mol_1,NC(=O)Cc1ccc(Cc2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,-7.5,6.0,0.16666666666666666,-7.5,-8.2,-7.5,7.582700000000009,8.746652511565642,9.058618224216511,0.923,10.904
mol_7,NC(=O)CCc1ccc(CCc2nc(CC(N)=O)cs2)cc1,-6.8,23.0,0.6388888888888888,-7.2,-7.2,-6.8,7.555600000000004,8.718260668608979,9.009748777192788,0.853,10.716
mol_5,NC(=O)CCc1ccc(-c2ccc(CC(N)=O)cc2)cc1CC(N)=O,-7.2,12.0,0.3333333333333333,-7.2,-7.6,-7.9,7.594800000000004,8.70262684573472,9.013181075882816,0.871,10.755
mol_9,NC(=O)Cc1ccc(Cc2ccc(-c3cc(CC(N)=O)ccn3)cc2)cc1,-7.4,8.0,0.2222222222222222,-7.4,-7.8,-7.6,7.585300000000005,8.713259487983366,8.97349464343008,0.867,10.707
mol_10,NC(=O)Cc1ccc(-c2ccc(Cc3nc(CC(N)=O)cs3)cc2)cc1,-7.2,12.0,0.3333333333333333,-7.5,-7.4,-7.2,7.599900000000004,8.718814913856118,8.998437300276832,0.852,10.702
mol_11,CCc1ccc(Cc2cc(OC(=O)COCC(N)=O)ccn2)cc1,-6.7,25.0,0.6944444444444444,-6.9,-6.7,-6.7,7.591600000000004,8.733764674853752,8.999720630987943,0.849,10.698
mol_20,CC(=O)C1(NCN2CCN(C(=O)OC(C)C)CC2)CCCCC1,-6.4,33.0,0.9166666666666666,-6.4,-6.4,-6.6,7.559300000000012,8.7063721624425,8.936950392254252,0.848,10.632
