smiles,Is_Final_Top,Filter_Status,Active_Set,Data_Source_Status,Reward,R0,R_DFT,R_total,dft_effect,pIC50,QED,Lipinski_Pass,Violations,MW,LogP,HBD,HBA,RotBonds,TPSA,hERG_Prob,hERG_Risk,R_ADMET,R_global,EHOMO_ev,ELUMO_ev,gap_ev,PySCF_Gap_eV,PySCF_Dipole_Debye,PySCF_HOMO_eV,PySCF_LUMO_eV,PySCF_Energy_Eh,restart,step,SA,LogP_Penalty,esp_min,status,gap_score,esp_score,rank_R0,rank_total,delta_rank,MW.1,LogP.1,QED.1,Calc_Method,Gap_Median,Gap_MAD,Gap_RZ,Gap_HardFail,Gap_Penalty,R_gap,Dip_Median,Dip_MAD,Dip_P90,Dip_SoftThr,Dip_HardThr,Dipole_HardFail,Dip_Penalty,R_dip,Physical_HardFail,R_conf,R_phys,R_global2,name,Broad_Spectrum_Score,Broad_Rank,Broad_Rank_Pct,E_SARS_CoV_2,E_SARS_CoV_1,E_MERS_CoV,Docking_Rank,Docking_Rank_Pct,Selection_Mode
NC(=O)Cc1ccc(-c2ccc(N3C(=O)CC4(CCCCC4)C3=O)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.73529316489453,8.73529316489453,0.6482988258589119,8.994612695238095,neutral,7.595200000000005,0.8281474529054537,True,0,376.4560000000001,3.595200000000002,1,3,4,80.47,0.4142004085321362,False,0.834,10.663,-10.4227,-7.4711,2.9516,5.158,3.084,-6.035,-0.877,-1226.1159730605395,6,38,2.7398056155820214,0.0,-0.532,xtb_success,0.5918554655127313,0.78,45,83,38,376.46,3.6,0.828,B3LYP/6-31G*,5.067,0.3870000000000004,0.1586033587632989,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.663,mol_16,-7.8,1.0,0.0277777777777777,-8.3,-7.8,-8.1,1.0,0.027777777777777776,docking_rank_top36
NC(=O)Cc1ccc(-c2ccc(Cc3cc(CC(N)=O)ccn3)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.72111433313821,8.72111433313821,0.7130915354416629,9.006350947314875,physically_promoted,7.596700000000006,0.6773624300725871,True,0,359.429,2.3950000000000005,2,3,7,99.07,0.28,False,0.888,10.782,-10.0519,-6.7912,3.2607,5.333,2.983,-6.199,-0.865,-1165.709780522137,2,14,2.1426688189808782,0.0,-0.533,xtb_success,0.6851307649166615,0.7783333333333333,78,66,-12,359.43,2.4,0.677,B3LYP/6-31G*,5.067,0.3870000000000004,0.4636098179234882,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.782,mol_3,-7.7,2.0,0.0555555555555555,-7.9,-7.7,-8.5,2.0,0.05555555555555555,docking_rank_top36
CC(C)(C)c1ccc(-c2cc(Cc3cc(CC(N)=O)ccn3)ccn2)cc1,True,Pass,True,Step3c+4a+4b,8.728502161282005,8.728502161282005,0.646192882253201,8.986979314183285,neutral,7.587100000000004,0.7467504056198662,True,0,359.473,4.059700000000002,1,3,5,68.87,0.3833333333333333,False,0.847,10.68,-9.9394,-7.0049,2.9346,4.993,5.484,-5.945,-0.952,-1130.995236653063,31,10,2.319730415279317,0.0,-0.529,xtb_success,0.5867041175045729,0.785,63,90,27,359.47,4.06,0.747,B3LYP/6-31G*,5.067,0.3870000000000004,-0.1289741598734513,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.68,mol_13,-7.6,3.0,0.0833333333333333,-7.6,-8.1,-8.0,3.0,0.08333333333333333,docking_rank_top36
Cc1ccc(/C=C\c2ccc(/C=C\c3c[nH]c(=O)[nH]c3=O)cc2)cc1F,True,Pass,True,Step3c+4a+4b,8.691304336954506,8.691304336954506,0.5683605229445059,8.918648546132308,neutral,7.58780000000001,0.7034575239846734,True,0,348.37700000000007,3.8515200000000025,2,2,4,65.72,0.401581756428918,False,0.839,10.597,-10.1262,-7.6044,2.5218,4.599,3.104,-5.857,-1.258,-1170.2437934867853,13,9,2.4822442503784217,0.0,-0.513,xtb_success,0.4640864613492941,0.8116666666666666,144,160,16,348.38,3.85,0.703,B3LYP/6-31G*,5.067,0.3870000000000004,-0.8156744164969644,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.597,mol_22,-7.6,3.0,0.0833333333333333,-8.2,-7.6,-7.6,3.0,0.08333333333333333,docking_rank_top36
C#CCc1ccnc(-c2ccnc(-c3ccnc(CC(N)=O)c3)c2)c1,True,Pass,True,Step3c+4a+4b,8.687156253340087,8.687156253340087,0.5436867009421796,8.904630933716959,neutral,7.592700000000005,0.7292612154539522,True,0,328.37500000000006,2.4091000000000005,1,4,5,81.76,0.3133333333333333,False,0.875,10.654,-10.177,-7.7161,2.4609,4.736,2.654,-6.513,-1.776,-1065.922850382923,37,25,2.7017435438689503,0.0,-0.538,xtb_success,0.4466952870602567,0.77,161,167,6,328.38,2.41,0.729,B3LYP/6-31G*,5.067,0.3870000000000004,-0.5768979313258451,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.654,mol_18,-7.6,3.0,0.0833333333333333,-7.7,-8.0,-7.6,3.0,0.08333333333333333,docking_rank_top36
NC(=O)Cc1ccc(Cc2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.746652511565642,8.746652511565642,0.7799142816271769,9.058618224216511,physically_promoted,7.582700000000009,0.680119200920715,True,0,358.44100000000003,3.000000000000001,2,2,7,86.18,0.1933333333333333,False,0.923,10.904,-10.2365,-6.6417,3.5949,5.306,5.582,-6.038,-0.732,-1149.6725352322997,83,28,1.7610708889472235,0.0,-0.534,xtb_success,0.7813061166102528,0.7766666666666666,33,25,-8,358.44,3.0,0.68,B3LYP/6-31G*,5.067,0.3870000000000004,0.4165516785102016,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.904,mol_1,-7.5,6.0,0.1666666666666666,-7.5,-8.2,-7.5,6.0,0.16666666666666666,docking_rank_top36
NC(=O)Cc1ccnc(-c2ccc(Cc3ccccn3)c(C=O)c2)c1,True,Pass,True,Step3c+4a+4b,8.684227286587504,8.684227286587504,0.477510931177111,8.875231659058349,neutral,7.579900000000004,0.7034471281026355,True,0,331.37500000000006,2.574700000000001,1,4,6,85.94,0.4666666666666667,False,0.813,10.502,-10.1534,-8.074,2.0794,4.711,3.836,-6.443,-1.732,-1087.061510777207,44,15,2.4739627746381814,0.0,-0.527,xtb_success,0.3443013302530158,0.7883333333333333,173,178,5,331.38,2.57,0.703,B3LYP/6-31G*,5.067,0.3870000000000004,-0.6204702826344427,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.502,mol_28,-7.5,6.0,0.1666666666666666,-7.5,-7.7,-7.5,6.0,0.16666666666666666,docking_rank_top36
NC(=O)CCc1ccc(Cc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.711583735823325,8.711583735823325,0.8714799840639853,9.060175729448918,physically_promoted,7.604300000000006,0.5910238398575833,True,0,386.4950000000001,3.313900000000001,2,2,9,86.18,0.2466666666666666,False,0.901,10.863,-10.3051,-6.1593,4.1458,5.738,5.936,-5.967,-0.229,-1228.2948124889622,83,19,1.882281841054727,0.0,-0.535,xtb_success,0.9128285486628364,0.775,101,23,-78,386.5,3.31,0.591,B3LYP/6-31G*,5.067,0.3870000000000004,1.1694819091227846,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0141538461422325,0.9858461538577674,False,1.0,0.9858461538577674,10.709246769356929,mol_8,-7.4,8.0,0.2222222222222222,-7.4,-7.4,-7.6,8.0,0.2222222222222222,docking_rank_top36
NC(=O)CCc1ccc(CCc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.68432663285972,8.68432663285972,0.8709666536952011,9.0327132943378,physically_promoted,7.602200000000005,0.5455922130581462,True,0,400.5220000000001,3.508300000000002,2,2,10,86.18,0.2466666666666666,False,0.901,10.835,-10.2817,-6.1433,4.1384,5.831,1.522,-5.993,-0.163,-1267.6086028711566,83,18,1.906694736693576,0.0,-0.534,xtb_success,0.9113809338502874,0.7766666666666666,171,46,-125,400.52,3.51,0.546,B3LYP/6-31G*,5.067,0.3870000000000004,1.3315710559907712,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.835,mol_2,-7.4,8.0,0.2222222222222222,-7.6,-8.2,-7.4,8.0,0.2222222222222222,docking_rank_top36
NC(=O)Cc1ccc(Cc2ccc(-c3cc(CC(N)=O)ccn3)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.713259487983366,8.713259487983366,0.6505878886167824,8.97349464343008,neutral,7.585300000000005,0.677362430072587,True,0,359.42900000000003,2.3950000000000005,2,3,7,99.07,0.3333333333333333,False,0.867,10.707,-10.0323,-7.0652,2.9671,4.987,2.724,-6.099,-1.112,-1165.7115018552431,73,19,2.107217270529331,0.0,-0.534,xtb_success,0.5965541265954035,0.7766666666666666,98,110,12,359.43,2.4,0.677,B3LYP/6-31G*,5.067,0.3870000000000004,-0.1394315241875154,False,0.0,1.0,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,1.0,10.707,mol_9,-7.4,8.0,0.2222222222222222,-7.4,-7.8,-7.6,8.0,0.2222222222222222,docking_rank_top36
