smiles,Is_Final_Top,Filter_Status,Active_Set,Data_Source_Status,Reward,R0,R_DFT,R_total,dft_effect,pIC50,QED,Lipinski_Pass,Violations,MW,LogP,HBD,HBA,RotBonds,TPSA,hERG_Prob,hERG_Risk,R_ADMET,R_global,EHOMO_ev,ELUMO_ev,gap_ev,PySCF_Gap_eV,PySCF_Dipole_Debye,PySCF_HOMO_eV,PySCF_LUMO_eV,PySCF_Energy_Eh,restart,step,SA,LogP_Penalty,esp_min,status,gap_score,esp_score,rank_R0,rank_total,delta_rank,MW.1,LogP.1,QED.1,Calc_Method,Gap_Median,Gap_MAD,Gap_RZ,Gap_HardFail,Gap_Penalty,R_gap,Dip_Median,Dip_MAD,Dip_P90,Dip_SoftThr,Dip_HardThr,Dipole_HardFail,Dip_Penalty,R_dip,Physical_HardFail,R_conf,R_phys,R_global2,name,Broad_Spectrum_Score,Broad_Rank,Broad_Rank_Pct,E_SARS_CoV_2,E_SARS_CoV_1,E_MERS_CoV,Docking_Rank,Docking_Rank_Pct
COCc1ccc(C(=O)N2CCN(C(=O)c3ccccc3)CC2)cc1,False,Fail_hERG_HighRisk,False,Step3c+4a,8.830110707788233,8.830110707788233,0.8051226254598023,9.152159757972154,neutral,7.56830000000001,0.8602466628117768,True,0,338.40700000000004,2.4312000000000005,0,3,4,49.85,0.78,True,0.688,10.528,-10.5525,-6.831,3.7214,,,,,,92,4,1.6831262361766406,0.0,-0.531,xtb_success,0.8151751792282891,0.7816666666666666,2,1,-1,338.41,2.43,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C([O-])Nc1ccc(N2CCN(C(=O)Cc3ccccc3)CC2)cc1,False,Fail_hERG_HighRisk,False,Step3c+4a,8.868722791849661,8.868722791849661,0.6643829824616698,9.13447598483433,neutral,7.624100000000004,0.9125577540115644,True,0,338.38700000000006,1.333099999999999,1,4,4,75.71,0.5966666666666667,True,0.761,10.657,-9.8614,-6.6017,3.2597,,,,,,65,2,2.116560851561257,0.0,-0.63,xtb_success,0.6848328320880999,0.6166666666666667,1,2,1,338.39,1.33,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)c1ccc(CCCC2CCN(CC(N)=O)CC2)cc1,False,Fail_hERG_HighRisk,False,Step3c+4a,8.80533349105581,8.80533349105581,0.8024662030957261,9.1263199722941,neutral,7.575000000000006,0.8728037983204814,True,0,316.48900000000003,3.504100000000001,1,2,6,46.33,0.7566666666666667,True,0.697,10.521,-9.5768,-5.8259,3.7509,,,,,,57,8,2.036060205666141,0.0,-0.547,xtb_success,0.8228088615653233,0.755,5,3,-2,316.49,3.5,0.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)Cc1ccc(CCCCc2ccc(CC(N)=O)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.745391468957767,8.745391468957767,0.8934338307288776,9.102765001249317,physically_promoted,7.578100000000006,0.6934989076985447,True,0,324.424,2.3076,2,2,9,86.18,0.3466666666666667,False,0.861,10.825,-10.4145,-6.0924,4.3222,6.059,5.333,-6.208,-0.149,-1036.5590696496529,83,24,1.794579848915122,0.0,-0.535,xtb_success,0.9441911867555394,0.775,34,4,-30,324.42,2.31,0.693,B3LYP/6-31G*,5.067,0.3870000000000004,1.7289508999251897,False,0.1144754499625947,0.8855245500374053,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,0.8855245500374053,9.58580325415491,mol_34,-6.3,34.0,0.9444444444444444,-6.6,-6.8,-6.3,34.0,0.9444444444444444
NC(=O)CCc1ccc(Cc2ccc(CCC(N)=O)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.743794874322443,8.743794874322443,0.8896992478616985,9.099674573467125,physically_promoted,7.5484000000000036,0.7821291998590602,True,0,310.397,2.1132,2,2,8,86.18,0.2666666666666666,False,0.893,10.886,-10.3931,-6.0905,4.3025,5.98,4.09,-6.007,-0.026,-997.2495562630002,83,20,1.773952447233773,0.0,-0.538,xtb_success,0.9409989255167124,0.77,35,5,-30,310.4,2.11,0.782,B3LYP/6-31G*,5.067,0.3870000000000004,1.5912622697900185,False,0.0456311348950092,0.9543688651049907,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.0,1.0,False,1.0,0.9543688651049907,10.389259465532929,mol_31,-6.8,23.0,0.6388888888888888,-7.0,-7.4,-6.8,23.0,0.6388888888888888
COCCc1cccc(Cc2cccc(OC)c2OC)c1OC,False,Fail_hERG_HighRisk,False,Step3c+4a,8.743558452727438,8.743558452727438,0.8739381172460932,9.093133699625875,physically_promoted,7.586300000000007,0.7468536561667555,True,0,316.39700000000005,3.4921000000000024,0,4,8,36.92,0.6726186521032183,True,0.731,10.555,-10.0644,-6.1234,3.941,,,,,,75,36,2.1357542108436576,0.0,-0.354,xtb_success,0.8691973103515618,0.8849999999999999,36,6,-30,316.4,3.49,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCCc1ccccc1CCc1ccccc1C(=O)N(C)C,False,Fail_hERG_HighRisk,False,Step3c+4a,8.734421412321366,8.734421412321366,0.8895203694937686,9.090229560118871,physically_promoted,7.560500000000011,0.784487413036907,True,0,311.425,3.3625000000000025,0,2,7,29.54,0.6533333333333333,True,0.739,10.568,-10.56,-6.2235,4.3365,,,,,,93,16,2.037237761139515,0.0,-0.546,xtb_success,0.9464576707053836,0.7566666666666666,49,7,-42,311.43,3.36,0.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)CCc1ccc(CCc2ccc(CC(N)=O)cc2)cc1,True,Pass,True,Step3c+4a+4b,8.734700237574543,8.734700237574543,0.8837116496131622,9.088184897419808,physically_promoted,7.547200000000004,0.7801442554165988,True,0,310.397,1.9174999999999995,2,2,8,86.18,0.2333333333333333,False,0.907,10.902,-10.298,-6.021,4.2769,5.939,6.338,-6.188,-0.249,-997.248525792968,17,9,1.8429740925004603,0.0,-0.544,xtb_success,0.9367309280188032,0.76,48,8,-40,310.4,1.92,0.78,B3LYP/6-31G*,5.067,0.3870000000000004,1.519803613643916,False,0.009901806821958,0.990098193178042,4.3465,1.3954999999999995,6.5435,5.91875,7.137499999999999,False,0.3439999997177437,0.6560000002822562,False,1.0,0.6495044150042569,7.080897132376409,,,,,,,,,
COCc1ccc(Cc2ccc(CC[C@H]3CCOC3)cc2)cc1,False,Fail_hERG_HighRisk,False,Step3c+4a,8.71233999678902,8.71233999678902,0.935426082319029,9.08651042971663,physically_promoted,7.59570000000001,0.7547518336376462,True,0,310.437,4.392900000000004,0,2,7,18.46,0.6466666666666666,True,0.741,10.569,-10.4202,-6.1436,4.2766,,,,,,95,9,2.426119766970116,0.0,-0.373,xtb_success,0.9366801175986128,0.9325,99,9,-90,310.44,4.39,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCc1cc(Cc2ccc(OC)cc2)cc(CC(OC)OC)c1,False,Fail_hERG_HighRisk,False,Step3c+4a,8.727721719093164,8.727721719093164,0.8923283423456805,9.084653056031437,physically_promoted,7.627000000000013,0.6584987772648521,True,0,330.4240000000001,3.5938000000000025,0,4,9,36.92,0.5353511518275269,True,0.786,10.656,-10.1596,-6.1295,4.03,,,,,,62,19,2.2852766953927333,0.0,-0.36,xtb_success,0.8890404890652579,0.8999999999999999,65,10,-55,330.42,3.59,0.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
