batch_number,manufacturing_date,assay,impurity,dissolution,hardness,friability
B202403001,2024-03-01,98.5,0.12,85.2,8.5,0.8
B202403002,2024-03-02,97.8,0.15,82.1,8.3,0.9
B202403003,2024-03-03,99.2,0.08,88.5,8.7,0.7
B202403004,2024-03-04,96.5,0.18,79.8,8.2,1.0
B202403005,2024-03-05,101.2,0.05,91.2,8.8,0.6
B202403006,2024-03-06,94.8,0.22,75.5,8.1,1.1
B202403007,2024-03-07,100.5,0.09,89.3,8.6,0.7
B202403008,2024-03-08,97.3,0.14,83.7,8.4,0.8
B202403009,2024-03-09,99.8,0.11,87.1,8.7,0.7
B202403010,2024-03-10,95.2,0.19,78.2,8.0,1.2
