batch_number,month,storage_condition,assay,impurity,dissolution,appearance
S202401,0,25C/60%RH,100.0,0.10,95.0,White
S202401,3,25C/60%RH,99.5,0.12,94.2,White
S202401,6,25C/60%RH,98.8,0.15,93.5,White
S202401,9,25C/60%RH,98.2,0.18,92.8,White
S202401,12,25C/60%RH,97.5,0.22,91.5,White
S202401,18,25C/60%RH,96.8,0.28,89.8,White
S202401,24,25C/60%RH,95.5,0.35,87.2,White
S202401,36,25C/60%RH,94.2,0.45,84.5,Slightly Yellow
S202402,0,40C/75%RH,100.0,0.10,95.0,White
S202402,3,40C/75%RH,98.8,0.14,93.0,White
S202402,6,40C/75%RH,97.5,0.20,90.5,White
S202402,9,40C/75%RH,96.2,0.28,87.8,White
S202402,12,40C/75%RH,94.8,0.38,84.2,Slightly Yellow
