Batch_Number,Product_Name,Manufacturing_Date,Assay,Impurity_Total,Dissolution_30min,Hardness_kp,Friability_Percent
B2024001,Paracetamol_500mg,2024-01-15,98.5,0.32,85.2,6.2,0.45
B2024002,Paracetamol_500mg,2024-01-16,97.8,0.28,82.5,5.8,0.52
B2024003,Paracetamol_500mg,2024-01-17,99.2,0.35,88.1,6.5,0.38
B2024004,Paracetamol_500mg,2024-01-18,96.5,0.41,79.8,5.5,0.61
B2024005,Paracetamol_500mg,2024-01-19,101.2,0.25,91.5,7.1,0.29
B2024006,Paracetamol_500mg,2024-01-20,94.8,0.55,76.2,4.8,0.75
B2024007,Paracetamol_500mg,2024-01-21,98.9,0.31,86.3,6.3,0.42
B2024008,Paracetamol_500mg,2024-01-22,97.3,0.38,83.7,5.9,0.48
B2024009,Paracetamol_500mg,2024-01-23,100.5,0.29,89.4,6.8,0.35
B2024010,Paracetamol_500mg,2024-01-24,99.1,0.33,87.2,6.4,0.40
B2024011,Ibuprofen_200mg,2024-01-15,97.2,0.45,81.5,7.5,0.28
B2024012,Ibuprofen_200mg,2024-01-16,98.8,0.38,84.2,7.8,0.25
B2024013,Ibuprofen_200mg,2024-01-17,96.5,0.52,78.9,7.2,0.32
B2024014,Ibuprofen_200mg,2024-01-18,99.5,0.35,86.7,8.1,0.22
B2024015,Ibuprofen_200mg,2024-01-19,95.8,0.61,75.3,6.9,0.38
B2024016,Ibuprofen_200mg,2024-01-20,100.2,0.32,88.5,8.3,0.20
B2024017,Ibuprofen_200mg,2024-01-21,98.1,0.41,83.1,7.6,0.27
B2024018,Ibuprofen_200mg,2024-01-22,97.6,0.48,82.4,7.4,0.29
B2024019,Ibuprofen_200mg,2024-01-23,99.8,0.36,87.3,7.9,0.24
B2024020,Ibuprofen_200mg,2024-01-24,98.3,0.42,85.1,7.7,0.26
