Batch_Number,Storage_Condition,Time_Month,Assay,Impurity_Total,Water_Content,Dissolution_30min
B2024001,25C/60RH,0,99.5,0.25,2.1,88.5
B2024001,25C/60RH,3,99.2,0.28,2.2,87.8
B2024001,25C/60RH,6,98.8,0.32,2.3,86.9
B2024001,25C/60RH,9,98.5,0.35,2.4,86.2
B2024001,25C/60RH,12,98.1,0.38,2.5,85.5
B2024001,25C/60RH,18,97.5,0.45,2.7,84.1
B2024001,25C/60RH,24,96.8,0.52,2.9,82.8
B2024001,40C/75RH,0,99.5,0.25,2.1,88.5
B2024001,40C/75RH,3,98.5,0.35,2.4,85.2
B2024001,40C/75RH,6,97.2,0.48,2.8,81.8
B2024001,40C/75RH,9,95.8,0.62,3.2,78.5
B2024001,40C/75RH,12,94.2,0.78,3.6,75.1
B2024002,25C/60RH,0,100.2,0.22,1.9,89.2
B2024002,25C/60RH,3,99.8,0.25,2.0,88.5
B2024002,25C/60RH,6,99.5,0.28,2.1,87.8
B2024002,25C/60RH,9,99.1,0.31,2.2,87.1
B2024002,25C/60RH,12,98.7,0.34,2.3,86.4
B2024002,25C/60RH,18,98.0,0.41,2.5,85.0
B2024002,25C/60RH,24,97.2,0.48,2.7,83.5
B2024002,40C/75RH,0,100.2,0.22,1.9,89.2
B2024002,40C/75RH,3,99.2,0.32,2.2,85.8
B2024002,40C/75RH,6,97.8,0.45,2.6,82.4
B2024002,40C/75RH,9,96.2,0.58,3.0,79.0
B2024002,40C/75RH,12,94.5,0.72,3.4,75.6
B2024003,25C/60RH,0,98.8,0.28,2.3,87.5
B2024003,25C/60RH,3,98.5,0.31,2.4,86.8
B2024003,25C/60RH,6,98.1,0.35,2.5,86.0
B2024003,25C/60RH,9,97.7,0.38,2.6,85.2
B2024003,25C/60RH,12,97.2,0.42,2.7,84.4
B2024003,25C/60RH,18,96.5,0.49,2.9,82.8
B2024003,25C/60RH,24,95.6,0.58,3.1,81.2
B2024003,40C/75RH,0,98.8,0.28,2.3,87.5
B2024003,40C/75RH,3,97.8,0.38,2.6,84.1
B2024003,40C/75RH,6,96.4,0.52,3.0,80.7
B2024003,40C/75RH,9,94.8,0.68,3.4,77.3
B2024003,40C/75RH,12,93.0,0.85,3.8,73.9
