经理姓名,公司,排名,股票代码,股票名称,总占比(%),出现次数,覆盖基金数,报告期
张坤,易方达基金,1,00883,中国海洋石油,29.3,4,4,2026-06-30
张坤,易方达基金,2,00700,腾讯控股,28.78,4,4,2026-06-30
张坤,易方达基金,3,600519,贵州茅台,24.36,3,3,2026-06-30
张坤,易方达基金,4,09988,阿里巴巴-W,21.54,4,4,2026-06-30
张坤,易方达基金,5,000568,泸州老窖,19.76,3,3,2026-06-30
张坤,易方达基金,6,600809,山西汾酒,18.85,3,3,2026-06-30
张坤,易方达基金,7,09987,百胜中国,18.02,3,3,2026-06-30
张坤,易方达基金,8,000858,五粮液,17.97,3,3,2026-06-30
张坤,易方达基金,9,01179,华住集团-S,16.65,2,2,2026-06-30
张坤,易方达基金,10,005930,三星电子,9.5,1,1,2026-06-30
张坤,易方达基金,11,000660,SK海力士,9.32,1,1,2026-06-30
张坤,易方达基金,12,KLAC,科磊,8.56,1,1,2026-06-30
张坤,易方达基金,13,600036,招商银行,7.15,1,1,2026-06-30
张坤,易方达基金,14,ASML,阿斯麦,6.77,1,1,2026-06-30
张坤,易方达基金,15,TSM,台积电,6.14,1,1,2026-06-30
张坤,易方达基金,16,00857,中国石油股份,3.94,1,1,2026-06-30
张坤,易方达基金,17,2330,台积电,3.93,1,1,2026-06-30
张坤,易方达基金,18,002027,分众传媒,2.5,1,1,2026-06-30
张坤,易方达基金,19,00981,中芯国际,2.34,1,1,2026-06-30
张坤,易方达基金,20,002384,东山精密,2.34,1,1,2026-06-30
萧楠,易方达基金,1,600519,贵州茅台,19.36,2,2,2026-06-30
萧楠,易方达基金,2,002371,北方华创,18.7,2,2,2026-06-30
萧楠,易方达基金,3,000333,美的集团,15.08,2,2,2026-06-30
萧楠,易方达基金,4,300308,中际旭创,15.04,2,2,2026-06-30
萧楠,易方达基金,5,300502,新易盛,14.65,2,2,2026-06-30
萧楠,易方达基金,6,002384,东山精密,14.37,2,2,2026-06-30
萧楠,易方达基金,7,600809,山西汾酒,13.0,2,2,2026-06-30
萧楠,易方达基金,8,603129,春风动力,12.98,2,2,2026-06-30
萧楠,易方达基金,9,688409,富创精密,12.6,2,2,2026-06-30
萧楠,易方达基金,10,300408,三环集团,12.57,2,2,2026-06-30
萧楠,易方达基金,11,601058,赛轮轮胎,11.15,2,2,2026-06-30
萧楠,易方达基金,12,688008,澜起科技,10.6,2,2,2026-06-30
萧楠,易方达基金,13,688361,中科飞测,9.68,2,2,2026-06-30
萧楠,易方达基金,14,09992,泡泡玛特,9.33,1,1,2026-06-30
萧楠,易方达基金,15,002594,比亚迪,7.96,1,1,2026-06-30
萧楠,易方达基金,16,600660,福耀玻璃,7.86,1,1,2026-06-30
萧楠,易方达基金,17,09988,阿里巴巴-W,5.49,1,1,2026-06-30
萧楠,易方达基金,18,603986,兆易创新,5.46,1,1,2026-06-30
萧楠,易方达基金,19,00700,腾讯控股,5.31,1,1,2026-06-30
萧楠,易方达基金,20,09633,农夫山泉,5.25,1,1,2026-06-30
