序号,姓名,基金公司,状态,擅长领域,风格标签,风格码,任职回报,添加日期,最后刷新
1,张坤,易方达基金,distilled,消费、科技、能源,"价值, 高度集中",VALUE-MED_POS-SECTOR_CONCENTRATED-LOW_TURNOVER-HK_STOCK,308.10%,2026-07-23,2026-07-29 12:20
2,萧楠,易方达基金,distilled,科技、消费,"成长, 高度集中",GROWTH-MED_POS-SECTOR_CONCENTRATED-LOW_TURNOVER-HK_STOCK,272.41%,2026-07-26,2026-07-29 12:20
3,刘彦春,景顺长城基金,active,,,,131.25%,2026-07-29,2026-07-29 16:50
4,葛兰,中欧基金,active,,,,123.26%,2026-07-29,2026-07-29 16:50
5,朱少醒,富国基金,active,,,,1823.40%,2026-07-29,2026-07-29 16:50
6,傅鹏博,睿远基金,active,,,,126.84%,2026-07-29,2026-07-29 16:50
7,谢治宇,兴证全球基金,active,,,,902.81%,2026-07-29,2026-07-29 16:50
8,周蔚,中欧基金,active,,,,637.40%,2026-07-29,2026-07-29 16:50
9,王崇,交银施罗德基金,active,,,,310.18%,2026-07-29,2026-07-29 16:50
10,李晓星,银华基金,active,,,,348.00%,2026-07-29,2026-07-29 16:50
11,乔迁,兴证全球基金,active,,,,252.21%,2026-07-29,2026-07-29 16:50
12,杨锐文,景顺长城基金,active,,,,348.67%,2026-07-29,2026-07-29 16:50
13,刘格菘,广发基金,active,,,,185.61%,2026-07-29,2026-07-29 16:50
14,曲扬,前海开源基金,active,,,,145.23%,2026-07-29,2026-07-29 16:50
15,杜猛,摩根基金(中国),active,,,,1011.70%,2026-07-29,2026-07-29 16:50
16,归凯,嘉实基金,active,,,,159.10%,2026-07-29,2026-07-29 16:50
17,杨瑨,汇添富基金,active,,,,429.17%,2026-07-29,2026-07-29 16:50
18,王培,中欧基金,active,,,,139.90%,2026-07-29,2026-07-29 16:50
19,唐晓斌,广发基金,active,,,,63.16%,2026-07-29,2026-07-29 16:50
20,陆彬,汇丰晋信基金,active,,,,127.11%,2026-07-29,2026-07-29 16:50
21,何帅,交银施罗德基金,active,,,,335.94%,2026-07-29,2026-07-29 16:50
22,张峰,富国基金,active,,,,316.70%,2026-07-29,2026-07-29 16:50
23,胡涛,平安基金,active,,,,1.30%,2026-07-29,2026-07-29 16:50
24,郑澄,广发基金,active,,,,67.56%,2026-07-29,2026-07-29 16:50
25,邓晓峰,上海高毅资产管理合伙企业（有限合伙）,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
26,蒋彤,上海景林资产管理有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
27,裘国根,上海重阳投资管理股份有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
28,但斌,深圳东方港湾投资管理股份有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
29,林园,深圳市林园投资管理有限责任公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
30,杨振宁,上海宁泉资产管理有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
31,庄涛,上海盘京投资管理中心（有限合伙）,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
32,韩广斌,深圳市新思哲投资管理有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
33,王亚伟,千合资本管理有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
34,李驰,深圳市同威投资管理有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
35,石波,上海尚雅投资管理有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
36,裘慧明,上海明汯投资管理有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
37,卓利军,上海少薮派投资管理有限公司,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
38,王强,上海自然拾贝投资管理合伙企业（有限合伙）,distilled,,"均衡, 未知",BALANCED-MED_POS-UNKNOWN-LOW_TURNOVER-A_SHARE,,2026-07-29,2026-07-29 16:50
