group,parameter,value,replicate
control,CD86_pct,12.5,1
control,CD86_pct,15.2,2
control,CD86_pct,11.8,3
control,CD206_pct,35.6,1
control,CD206_pct,38.2,2
control,CD206_pct,33.9,3
control,M1_M2_ratio,0.35,1
control,M1_M2_ratio,0.40,2
control,M1_M2_ratio,0.35,3
control,iNOS_MFI,2850,1
control,iNOS_MFI,3120,2
control,iNOS_MFI,2780,3
control,Arg1_MFI,5200,1
control,Arg1_MFI,5480,2
control,Arg1_MFI,5050,3
control,TNFa_MFI,3800,1
control,TNFa_MFI,4150,2
control,TNFa_MFI,3720,3
control,IL10_MFI,4500,1
control,IL10_MFI,4820,2
control,IL10_MFI,4380,3
model,CD86_pct,52.3,1
model,CD86_pct,55.8,2
model,CD86_pct,49.6,3
model,CD206_pct,8.2,1
model,CD206_pct,10.5,2
model,CD206_pct,7.8,3
model,M1_M2_ratio,6.38,1
model,M1_M2_ratio,5.31,2
model,M1_M2_ratio,6.36,3
model,iNOS_MFI,12500,1
model,iNOS_MFI,13200,2
model,iNOS_MFI,11800,3
model,Arg1_MFI,1200,1
model,Arg1_MFI,1450,2
model,Arg1_MFI,1100,3
model,TNFa_MFI,15200,1
model,TNFa_MFI,16500,2
model,TNFa_MFI,14800,3
model,IL10_MFI,850,1
model,IL10_MFI,920,2
model,IL10_MFI,780,3
drug_low,CD86_pct,38.5,1
drug_low,CD86_pct,42.1,2
drug_low,CD86_pct,36.8,3
drug_low,CD206_pct,18.5,1
drug_low,CD206_pct,21.2,2
drug_low,CD206_pct,17.8,3
drug_low,M1_M2_ratio,2.08,1
drug_low,M1_M2_ratio,1.99,2
drug_low,M1_M2_ratio,2.07,3
drug_low,iNOS_MFI,8200,1
drug_low,iNOS_MFI,8800,2
drug_low,iNOS_MFI,7950,3
drug_low,Arg1_MFI,2800,1
drug_low,Arg1_MFI,3100,2
drug_low,Arg1_MFI,2650,3
drug_low,TNFa_MFI,9200,1
drug_low,TNFa_MFI,9800,2
drug_low,TNFa_MFI,8850,3
drug_low,IL10_MFI,2200,1
drug_low,IL10_MFI,2500,2
drug_low,IL10_MFI,2100,3
drug_high,CD86_pct,18.2,1
drug_high,CD86_pct,21.5,2
drug_high,CD86_pct,17.5,3
drug_high,CD206_pct,42.8,1
drug_high,CD206_pct,45.6,2
drug_high,CD206_pct,40.5,3
drug_high,M1_M2_ratio,0.43,1
drug_high,M1_M2_ratio,0.47,2
drug_high,M1_M2_ratio,0.43,3
drug_high,iNOS_MFI,3500,1
drug_high,iNOS_MFI,3800,2
drug_high,iNOS_MFI,3350,3
drug_high,Arg1_MFI,5800,1
drug_high,Arg1_MFI,6200,2
drug_high,Arg1_MFI,5500,3
drug_high,TNFa_MFI,4500,1
drug_high,TNFa_MFI,4900,2
drug_high,TNFa_MFI,4300,3
drug_high,IL10_MFI,5200,1
drug_high,IL10_MFI,5500,2
drug_high,IL10_MFI,5000,3
