cell_id,condition,Nos2,Cd86,Cxcl9,Tnf,Il6,Mrc1,Arg1,Il10,Cd163,Retnla
cell_001,control,0.12,0.45,0.08,0.55,0.32,0.89,0.67,0.43,0.52,0.28
cell_002,control,0.08,0.32,0.12,0.48,0.41,0.72,0.55,0.39,0.48,0.35
cell_003,control,0.15,0.51,0.05,0.62,0.35,0.95,0.71,0.45,0.56,0.31
cell_004,control,0.09,0.38,0.10,0.41,0.28,0.68,0.59,0.37,0.44,0.25
cell_005,control,0.18,0.55,0.07,0.58,0.45,1.02,0.78,0.48,0.61,0.33
cell_006,control,0.06,0.28,0.15,0.35,0.22,0.58,0.48,0.32,0.38,0.22
cell_007,control,0.14,0.48,0.09,0.52,0.38,0.82,0.62,0.41,0.49,0.29
cell_008,control,0.11,0.42,0.11,0.45,0.30,0.75,0.53,0.36,0.45,0.26
cell_009,control,0.07,0.35,0.13,0.38,0.25,0.62,0.45,0.33,0.40,0.21
cell_010,control,0.16,0.52,0.06,0.61,0.48,1.08,0.82,0.49,0.58,0.36
cell_011,drug_low,0.25,0.62,0.18,0.72,0.52,0.65,0.42,0.28,0.35,0.18
cell_012,drug_low,0.22,0.58,0.15,0.68,0.48,0.58,0.38,0.25,0.32,0.15
cell_013,drug_low,0.28,0.65,0.20,0.75,0.55,0.72,0.48,0.30,0.38,0.20
cell_014,drug_low,0.20,0.55,0.13,0.62,0.45,0.52,0.35,0.22,0.28,0.13
cell_015,drug_low,0.30,0.68,0.22,0.78,0.58,0.75,0.50,0.32,0.40,0.22
cell_016,drug_low,0.18,0.50,0.11,0.58,0.42,0.48,0.32,0.20,0.25,0.11
cell_017,drug_low,0.26,0.60,0.17,0.70,0.50,0.62,0.40,0.26,0.33,0.17
cell_018,drug_low,0.23,0.56,0.14,0.65,0.46,0.55,0.36,0.23,0.30,0.14
cell_019,drug_low,0.29,0.66,0.21,0.76,0.56,0.68,0.45,0.28,0.36,0.19
cell_020,drug_low,0.21,0.53,0.12,0.60,0.43,0.50,0.33,0.21,0.26,0.12
cell_021,drug_high,0.08,0.38,0.05,0.35,0.22,1.25,1.02,0.68,0.78,0.52
cell_022,drug_high,0.06,0.32,0.03,0.30,0.18,1.15,0.95,0.62,0.72,0.48
cell_023,drug_high,0.10,0.42,0.07,0.38,0.25,1.32,1.08,0.72,0.82,0.55
cell_024,drug_high,0.05,0.28,0.02,0.28,0.15,1.08,0.88,0.56,0.65,0.42
cell_025,drug_high,0.12,0.45,0.08,0.42,0.28,1.38,1.12,0.75,0.85,0.58
cell_026,drug_high,0.04,0.25,0.02,0.25,0.13,1.02,0.82,0.52,0.60,0.38
cell_027,drug_high,0.09,0.40,0.06,0.36,0.23,1.20,0.98,0.65,0.75,0.50
cell_028,drug_high,0.07,0.35,0.04,0.32,0.20,1.12,0.92,0.60,0.70,0.45
cell_029,drug_high,0.11,0.43,0.07,0.40,0.26,1.28,1.05,0.70,0.80,0.53
cell_030,drug_high,0.05,0.30,0.03,0.28,0.16,1.05,0.85,0.54,0.62,0.40
cell_031,model,0.52,0.98,0.45,1.15,0.88,0.25,0.18,0.10,0.12,0.08
cell_032,model,0.48,0.92,0.42,1.08,0.82,0.22,0.15,0.08,0.10,0.06
cell_033,model,0.55,1.05,0.48,1.22,0.95,0.28,0.20,0.12,0.15,0.10
cell_034,model,0.45,0.88,0.38,1.02,0.78,0.20,0.13,0.07,0.09,0.05
cell_035,model,0.58,1.10,0.50,1.28,0.98,0.30,0.22,0.13,0.16,0.11
cell_036,model,0.42,0.85,0.35,0.98,0.75,0.18,0.12,0.06,0.08,0.04
cell_037,model,0.50,0.95,0.43,1.12,0.85,0.23,0.16,0.09,0.11,0.07
cell_038,model,0.46,0.90,0.40,1.05,0.80,0.21,0.14,0.07,0.09,0.05
cell_039,model,0.54,1.02,0.46,1.20,0.92,0.27,0.19,0.11,0.14,0.09
cell_040,model,0.49,0.94,0.41,1.10,0.84,0.24,0.17,0.09,0.12,0.07
